atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,77122.8491488618
AtLeastIn1,PG,Cluster18,Ward,df_AbioticsDistance,400128.109674874
AtLeastIn1,PG,Cluster18,Medoid,df_LatDephtDistance,61862.9780929752
AtLeastIn1,PG,Cluster18,Medoid,df_AbioticsDistance,320028.528945259
AtLeastIn1,PG,Cluster19,Ward,df_LatDephtDistance,77083.3632299028
AtLeastIn1,PG,Cluster19,Ward,df_AbioticsDistance,399727.833131836
AtLeastIn1,PG,Cluster19,Medoid,df_LatDephtDistance,56886.7118903546
AtLeastIn1,PG,Cluster19,Medoid,df_AbioticsDistance,242526.671029689
AtLeastIn1,PG,Cluster20,Ward,df_LatDephtDistance,77026.144551134
AtLeastIn1,PG,Cluster20,Ward,df_AbioticsDistance,398826.232549295
AtLeastIn1,PG,Cluster20,Medoid,df_LatDephtDistance,56847.2259713956
AtLeastIn1,PG,Cluster20,Medoid,df_AbioticsDistance,242126.394486651
AtLeastIn1,PG,Cluster21,Ward,df_LatDephtDistance,70121.3947379283
AtLeastIn1,PG,Cluster21,Ward,df_AbioticsDistance,387844.194302011
AtLeastIn1,PG,Cluster21,Medoid,df_LatDephtDistance,56822.0807274692
AtLeastIn1,PG,Cluster21,Medoid,df_AbioticsDistance,241531.774106469
AtLeastIn1,PG,Cluster22,Ward,df_LatDephtDistance,70090.2504125984
AtLeastIn1,PG,Cluster22,Ward,df_AbioticsDistance,387444.06097212
AtLeastIn1,PG,Cluster22,Medoid,df_LatDephtDistance,56752.086268525
AtLeastIn1,PG,Cluster22,Medoid,df_AbioticsDistance,239444.95883785
AtLeastIn1,PG,Cluster23,Ward,df_LatDephtDistance,65074.9635149889
AtLeastIn1,PG,Cluster23,Ward,df_AbioticsDistance,312526.712310466
AtLeastIn1,PG,Cluster23,Medoid,df_LatDephtDistance,56720.9419431952
AtLeastIn1,PG,Cluster23,Medoid,df_AbioticsDistance,239044.825507959
AtLeastIn1,PG,Cluster24,Ward,df_LatDephtDistance,57047.7505312776
AtLeastIn1,PG,Cluster24,Ward,df_AbioticsDistance,277677.852433242
AtLeastIn1,PG,Cluster24,Medoid,df_LatDephtDistance,54833.495464321
AtLeastIn1,PG,Cluster24,Medoid,df_AbioticsDistance,230607.161139237
AtLeastIn1,PG,Cluster25,Ward,df_LatDephtDistance,43774.738715337
AtLeastIn1,PG,Cluster25,Ward,df_AbioticsDistance,207210.211897541
AtLeastIn1,PG,Cluster25,Medoid,df_LatDephtDistance,54821.451378376
AtLeastIn1,PG,Cluster25,Medoid,df_AbioticsDistance,230303.960884908
AtLeastIn1,PG,Cluster26,Ward,df_LatDephtDistance,40963.6868933079
