atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster17,Ward,df_LatDephtDistance,421679.684962604,0
AtLeastIn1,PG,Cluster17,Ward,df_AbioticsDistance,413081.89501649,0
AtLeastIn1,PG,Cluster17,Medoid,df_LatDephtDistance,326064.551973138,0
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,321501.355159154,0
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,406386.754631553,0
AtLeastIn1,PG,Cluster18,Ward,df_AbioticsDistance,400128.109674874,0
AtLeastIn1,PG,Cluster18,Medoid,df_LatDephtDistance,324604.373312572,0
AtLeastIn1,PG,Cluster18,Medoid,df_AbioticsDistance,320028.528945259,0
AtLeastIn1,PG,Cluster19,Ward,df_LatDephtDistance,405987.219381319,0
AtLeastIn1,PG,Cluster19,Ward,df_AbioticsDistance,399727.833131836,0
AtLeastIn1,PG,Cluster19,Medoid,df_LatDephtDistance,247626.804909022,0
AtLeastIn1,PG,Cluster19,Medoid,df_AbioticsDistance,242526.671029689,0
AtLeastIn1,PG,Cluster20,Ward,df_LatDephtDistance,405091.564519298,0
AtLeastIn1,PG,Cluster20,Ward,df_AbioticsDistance,398826.232549295,0
AtLeastIn1,PG,Cluster20,Medoid,df_LatDephtDistance,247227.269658788,0
AtLeastIn1,PG,Cluster20,Medoid,df_AbioticsDistance,242126.394486651,0
AtLeastIn1,PG,Cluster21,Ward,df_LatDephtDistance,393201.310825551,0
AtLeastIn1,PG,Cluster21,Ward,df_AbioticsDistance,387844.194302011,0
AtLeastIn1,PG,Cluster21,Medoid,df_LatDephtDistance,246637.137859383,0
AtLeastIn1,PG,Cluster21,Medoid,df_AbioticsDistance,241531.774106469,0
AtLeastIn1,PG,Cluster22,Ward,df_LatDephtDistance,392803.670961748,0
AtLeastIn1,PG,Cluster22,Ward,df_AbioticsDistance,387444.06097212,0
AtLeastIn1,PG,Cluster22,Medoid,df_LatDephtDistance,244566.806233607,0
AtLeastIn1,PG,Cluster22,Medoid,df_AbioticsDistance,239444.95883785,0
AtLeastIn1,PG,Cluster23,Ward,df_LatDephtDistance,318379.883669269,0
AtLeastIn1,PG,Cluster23,Ward,df_AbioticsDistance,312526.712310466,0
AtLeastIn1,PG,Cluster23,Medoid,df_LatDephtDistance,244169.166369805,0
AtLeastIn1,PG,Cluster23,Medoid,df_AbioticsDistance,239044.825507959,0
AtLeastIn1,PG,Cluster24,Ward,df_LatDephtDistance,282428.775616179,0
AtLeastIn1,PG,Cluster24,Ward,df_AbioticsDistance,277677.852433242,0
AtLeastIn1,PG,Cluster24,Medoid,df_LatDephtDistance,235626.238776154,0
AtLeastIn1,PG,Cluster24,Medoid,df_AbioticsDistance,230607.161139237,0
AtLeastIn1,PG,Cluster25,Ward,df_LatDephtDistance,210941.808535248,0
AtLeastIn1,PG,Cluster25,Ward,df_AbioticsDistance,207210.211897541,0
