atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,784802.074533109,0.1
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162,0.1
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,784802.074533109,0.1
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162,0.1
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,425215.083639381,0.1
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2100094.76639686,0.1
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,456563.993069295,0.1
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2171987.0345743,0.1
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,395823.02244352,0.1
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1790312.96360121,0.1
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,361912.484514475,0.1
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1683228.22859105,0.1
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,330615.102563657,0.1
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1536451.4333917,0.1
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,346147.396638058,0.1
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1494107.02097019,0.1
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,290935.66409623,0.1
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1442312.55403391,0.1
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,167771.763293812,0.1
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,802354.254297479,0.1
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,251935.783071059,0.1
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1213893.67573165,0.1
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,155533.031801795,0.1
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,714163.638989757,0.1
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,244112.794548493,0.1
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1167285.02224916,0.1
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,143872.28907407,0.1
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,705284.677993898,0.1
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,241376.246046325,0.1
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1117645.45421602,0.1
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,85271.3162696027,0.1
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,534230.907982773,0.1
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,139531.685848339,0.1
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,651384.340146544,0.1
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,82169.312741802,0.1
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,477021.709366565,0.1
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,138459.829955432,0.1
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,643459.610385898,0.1
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,80615.7705423694,0.1
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,456254.198551624,0.1
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,138151.44530225,0.1
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,643100.349442374,0.1
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,77112.4308404898,0.1
AtLeastIn1,PG,Cluster11,Medoid,df_AbioticsDistance,414208.852545213,0.1
AtLeastIn1,PG,Cluster12,Ward,df_LatDephtDistance,73562.130883442,0.1
AtLeastIn1,PG,Cluster12,Ward,df_AbioticsDistance,424437.9062269,0.1
AtLeastIn1,PG,Cluster12,Medoid,df_LatDephtDistance,46863.5054354197,0.1
AtLeastIn1,PG,Cluster12,Medoid,df_AbioticsDistance,375289.549974225,0.1
