atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,323929.92195499
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,37827.8943925675
AtLeastIn1,PG,Cluster18,Ward,df_AbioticsDistance,365147.807170038
AtLeastIn1,PG,Cluster18,Medoid,df_LatDephtDistance,27047.8033216973
AtLeastIn1,PG,Cluster18,Medoid,df_AbioticsDistance,296996.078496789
AtLeastIn1,PG,Cluster19,Ward,df_LatDephtDistance,34906.0669548103
AtLeastIn1,PG,Cluster19,Ward,df_AbioticsDistance,355235.729611698
AtLeastIn1,PG,Cluster19,Medoid,df_LatDephtDistance,22459.0796295394
AtLeastIn1,PG,Cluster19,Medoid,df_AbioticsDistance,251681.256407922
AtLeastIn1,PG,Cluster20,Ward,df_LatDephtDistance,31112.5081246128
AtLeastIn1,PG,Cluster20,Ward,df_AbioticsDistance,305526.637624869
AtLeastIn1,PG,Cluster20,Medoid,df_LatDephtDistance,22371.5236377954
AtLeastIn1,PG,Cluster20,Medoid,df_AbioticsDistance,251080.413550999
AtLeastIn1,PG,Cluster21,Ward,df_LatDephtDistance,24125.8648911313
AtLeastIn1,PG,Cluster21,Ward,df_AbioticsDistance,226605.298733745
AtLeastIn1,PG,Cluster21,Medoid,df_LatDephtDistance,22468.3855186704
AtLeastIn1,PG,Cluster21,Medoid,df_AbioticsDistance,251105.376996155
AtLeastIn1,PG,Cluster22,Ward,df_LatDephtDistance,24055.8704321871
AtLeastIn1,PG,Cluster22,Ward,df_AbioticsDistance,224518.483465126
AtLeastIn1,PG,Cluster22,Medoid,df_LatDephtDistance,19840.310909053
AtLeastIn1,PG,Cluster22,Medoid,df_AbioticsDistance,241272.220384056
AtLeastIn1,PG,Cluster23,Ward,df_LatDephtDistance,23479.4974064169
AtLeastIn1,PG,Cluster23,Ward,df_AbioticsDistance,224084.932411885
AtLeastIn1,PG,Cluster23,Medoid,df_LatDephtDistance,18573.1370062566
AtLeastIn1,PG,Cluster23,Medoid,df_AbioticsDistance,235217.871517526
AtLeastIn1,PG,Cluster24,Ward,df_LatDephtDistance,23454.3521624904
AtLeastIn1,PG,Cluster24,Ward,df_AbioticsDistance,223490.312031702
AtLeastIn1,PG,Cluster24,Medoid,df_LatDephtDistance,17053.1734309015
AtLeastIn1,PG,Cluster24,Medoid,df_AbioticsDistance,226223.711912556
AtLeastIn1,PG,Cluster25,Ward,df_LatDephtDistance,21088.1156836785
AtLeastIn1,PG,Cluster25,Ward,df_AbioticsDistance,212626.015074868
AtLeastIn1,PG,Cluster25,Medoid,df_LatDephtDistance,16987.0153225677
AtLeastIn1,PG,Cluster25,Medoid,df_AbioticsDistance,225776.1385752
AtLeastIn1,PG,Cluster26,Ward,df_LatDephtDistance,16869.3104014052
AtLeastIn1,PG,Cluster26,Ward,df_AbioticsDistance,186429.735740041
AtLeastIn1,PG,Cluster26,Medoid,df_LatDephtDistance,16917.0208636235
