atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,321501.355159154
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,420400.079508736
AtLeastIn1,PG,Cluster18,Ward,df_AbioticsDistance,400128.109674874
AtLeastIn1,PG,Cluster18,Medoid,df_LatDephtDistance,337294.523364722
AtLeastIn1,PG,Cluster18,Medoid,df_AbioticsDistance,320028.528945259
AtLeastIn1,PG,Cluster19,Ward,df_LatDephtDistance,419991.307486111
AtLeastIn1,PG,Cluster19,Ward,df_AbioticsDistance,399727.833131836
AtLeastIn1,PG,Cluster19,Medoid,df_LatDephtDistance,259985.287187347
AtLeastIn1,PG,Cluster19,Medoid,df_AbioticsDistance,242526.671029689
AtLeastIn1,PG,Cluster20,Ward,df_LatDephtDistance,419094.969588295
AtLeastIn1,PG,Cluster20,Ward,df_AbioticsDistance,398826.232549295
AtLeastIn1,PG,Cluster20,Medoid,df_LatDephtDistance,259576.515164723
AtLeastIn1,PG,Cluster20,Medoid,df_AbioticsDistance,242126.394486651
AtLeastIn1,PG,Cluster21,Ward,df_LatDephtDistance,405589.655894624
AtLeastIn1,PG,Cluster21,Ward,df_AbioticsDistance,387844.194302011
AtLeastIn1,PG,Cluster21,Medoid,df_LatDephtDistance,258986.383365318
AtLeastIn1,PG,Cluster21,Medoid,df_AbioticsDistance,241531.774106469
AtLeastIn1,PG,Cluster22,Ward,df_LatDephtDistance,405191.262308726
AtLeastIn1,PG,Cluster22,Ward,df_AbioticsDistance,387444.06097212
AtLeastIn1,PG,Cluster22,Medoid,df_LatDephtDistance,256913.804941969
AtLeastIn1,PG,Cluster22,Medoid,df_AbioticsDistance,239444.95883785
AtLeastIn1,PG,Cluster23,Ward,df_LatDephtDistance,330451.980340277
AtLeastIn1,PG,Cluster23,Ward,df_AbioticsDistance,312526.712310466
AtLeastIn1,PG,Cluster23,Medoid,df_LatDephtDistance,256515.411356071
AtLeastIn1,PG,Cluster23,Medoid,df_AbioticsDistance,239044.825507959
AtLeastIn1,PG,Cluster24,Ward,df_LatDephtDistance,293564.919694993
AtLeastIn1,PG,Cluster24,Ward,df_AbioticsDistance,277677.852433242
AtLeastIn1,PG,Cluster24,Medoid,df_LatDephtDistance,247646.974206588
AtLeastIn1,PG,Cluster24,Medoid,df_AbioticsDistance,230607.161139237
