atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,4727427.47974437,0.1
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162,0.1
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,4727427.47974437,0.1
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162,0.1
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,2119622.93346714,0.1
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2094892.48261896,0.1
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,2196324.37226234,0.1
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2171987.0345743,0.1
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,1819069.43819953,0.1
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1794261.9386261,0.1
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,1654366.29399199,0.1
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1631938.64630506,0.1
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,1547297.91931379,0.1
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1526625.07802315,0.1
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,1515483.01214439,0.1
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1494107.02097019,0.1
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,1451791.91747556,0.1
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1432620.1301316,0.1
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,1352267.07586862,0.1
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,1333678.66199822,0.1
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,1404401.05271732,0.1
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1386011.47664912,0.1
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,663056.76400251,0.1
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,648183.531168626,0.1
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,1173076.19319685,0.1
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1155332.81064788,0.1
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,652049.691302562,0.1
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,638165.488057044,0.1
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,1135154.41121832,0.1
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1117305.01920257,0.1
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,599284.034593167,0.1
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,585344.326839478,0.1
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,510251.739579012,0.1
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,495574.829185152,0.1
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,587495.856590076,0.1
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,573642.369769568,0.1
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,501857.670045124,0.1
